24.04.2023 20:04:01 [START]     : 
======================================= Application started =======================================
24.04.2023 20:04:02 [INFO]      : Loading data...
24.04.2023 20:04:02 [INFO]      : Loading user data
24.04.2023 20:04:02 [INFO]      : Loaded 0 users
24.04.2023 20:04:02 [INFO]      : Loading flight data
24.04.2023 20:04:06 [DATA]      : Flight: UPLOAD. OK!
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d1912308-3904-400a-87f1-4efb00fb1957. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:a92cb8f5-e757-4c46-a2c5-f707c7fabb34. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:211b151d-bedc-404d-a95a-2c5f8b8b246d. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:537d3089-5081-4c00-91ea-2f34e2268135. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:72b165e4-93ad-4b53-8973-782d11fba10e. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:9d0b6d47-59fc-4a54-83a3-362cf885e716. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:2c75aa96-dab8-4c84-a932-feacffc0e23c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d82c9233-8959-4b5b-b15b-d2c1547aa62c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:3e679f61-a380-44c1-a47b-59cfc1438af9. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:0094e4ca-ff24-46c9-97c1-efc47e880d8b. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:c2e96194-13a5-465d-b0da-164bd61b632e. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:394091cb-1c68-4674-8acf-0342fdd50afd. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:6b8ff76f-dbfa-4726-95b3-ad92e4667e97. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:9bdd1398-af6e-4597-9679-5270a7118f4d. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:7f8ee2ae-6998-4498-bb27-e93fbfe11c74. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:160091c6-a0f0-46f0-a99d-16e04cd14d01. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:2cbcd748-6b5c-498c-95b1-43905e3c3e6c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:e5dc2a1d-67eb-40c5-bc48-cde5d0232b7b. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:74fa75dc-9cbf-4d94-953e-59337493adb5. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:203f7538-6c46-4c28-961e-a1dd8cbc2e81. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d22eebf3-10ed-48e7-85d5-f300be09d5eb. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:1fc83572-fa01-4e1e-8a28-379de64aa848. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:f28ff3b9-c5f6-4baf-80e9-120f6250a3e3. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:26174c21-ac87-4af3-8a9f-04270e1e05bc. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:7b6aee0f-2bb0-4880-b3ee-1a3be3d3e9e6. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:dd543c53-25a3-4c30-968b-46d0390e5363. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:eb9c9f68-6179-4e4c-a713-02353f5b9f82. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:f0a6a443-650e-4a90-93a4-e6c8001a345d. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:f5ee4102-f5d8-4ea2-89ed-de81530ab7af. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:04c234d5-3c36-47c7-8eb7-fa40337529ce. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:afbfce50-3f1e-40cc-aefb-cbd2af8f01b8. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:b4ff6c2d-d29a-4116-8b60-27e8ba15bae8. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:9b73e16c-f996-489c-a85b-e6f3e5e9bea0. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:2f471c76-f7ac-4ee8-a38a-0f3817463d5b. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:edcaad2a-fd4b-4c23-af41-71df8444b414. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:bd62f3e8-2245-4845-81b3-b5e21ccddac4. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:2dacf800-820b-4120-b5c0-2db2f35b6d7c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:ccd42198-b940-4c57-b866-c71b31289119. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:5294e98a-9a42-4caa-ba76-5df760d46bc3. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:ce94b782-0a8e-423b-8b40-72edcbd343b2. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:273c63ff-e4e8-4cb1-9c9b-9ab80734f7b2. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:47851054-a72d-437a-b248-355aa9a16028. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:0e506917-811d-4ddd-8209-d28434bebb11. OK
